Name,Code,Sector,Industry,Price,Change%,Volume,MCap.(M)
ECOFIRS,3557,Property,Property,0.38,2.7,2125.0,459.01
DOMINAN,7169,Industrial Products & Services,Wood & Wood Products,0.83,3.7,102.0,137.15
TECGUAN,7439,Consumer Products & Services,Agricultural Products,1.61,3.2,84.0,64.56
PTT,7010,Property,Property,1.3,5.7,186.0,561.81
LYSAGHT,9199,Industrial Products & Services,Metals,2.54,3.3,30.0,105.61
LWSABAH,5328,Consumer Products & Services,Food & Beverages,0.82,1.9,1373.0,388.01
SLP,7248,Industrial Products & Services,Packaging Materials,0.87,0.0,0.0,275.76
BHIC,8133,Transportation & Logistics,Transportation Equipment,0.35,2.9,200.0,197.5
KLCC,5235SS,Real Estate Investment Trusts,Real Estate Investment Trusts,8.45,0.0,838.0,15255.06
JKGLAND,6769,Property,Property,0.105,5.0,801.0,238.87
BIMB,5258,Financial Services,Banking,2.57,0.4,14063.0,5824.84
RSAWIT,5113,Plantation,Plantation,0.2,0.0,5254.0,408.34
PANSAR,8419,Industrial Products & Services,Building Materials,0.555,0.0,361.0,286.12
LUXCHEM,5143,Industrial Products & Services,Chemicals,0.465,-2.1,3069.0,497.49
FM,7210,Transportation & Logistics,Transportation & Logistics Services,0.585,0.9,452.0,326.69
TASCO,5140,Transportation & Logistics,Transportation & Logistics Services,0.66,-2.2,1040.0,528.0
MANULFE,1058,Financial Services,Insurance,2.19,0.0,49.0,492.07
FCW,2755,Consumer Products & Services,Houshold Goods,1.62,0.0,0.0,404.99
RHONEMA,5278,Consumer Products & Services,Agricultural Products,0.645,0.8,471.0,142.69
TGUAN,7034,Industrial Products & Services,Packaging Materials,1.26,-1.6,13790.0,509.6
SCOMNET,0001,Health Care,Health Care Equipment & Services,1.06,0.0,17545.0,912.24
CHINHIN,5273,Industrial Products & Services,Building Materials,2.19,1.4,7206.0,7753.32
PWF,7134,Consumer Products & Services,Agricultural Products,0.78,1.3,3073.0,247.93
SHL,6017,Property,Property,2.3,3.6,120.0,556.88
PPJACK,0242,Financial Services,Other Financials,0.96,0.5,2483.0,737.47
ELKDESA,5228,Financial Services,Other Financials,1.13,1.8,613.0,513.93
VERSATL,4995,Consumer Products & Services,Retailers,0.7,4.5,502.0,196.07
PARAMON,1724,Property,Property,1.07,0.9,2720.0,666.37
TMK,5330,Industrial Products & Services,Chemicals,1.33,2.3,6291.0,1330.0
TGL,9369,Consumer Products & Services,Personal Goods,0.97,0.0,0.0,83.81
KJTS,0293,Industrial Products & Services,Industrial Services,1.05,0.0,37622.0,723.06
PANAMY,3719,Consumer Products & Services,Houshold Goods,16.02,-1.4,49.0,973.15
GOPENG,2135,Plantation,Plantation,0.63,-3.1,4071.0,254.2
